08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,○,,,,,BUX CB,○,ｱｯﾍﾞ,,Abbe Delahaye,,rex,,Wm Bull  cat.,London,1883 ad97,ｱｯﾍﾞ･ﾃﾞﾗﾍｲ,ad97,,,,植村,
,,○,,,,,JBS2,,,,Ace,Black Queen x Sunburst,rex,,Misono I.,Japan,1979 ad97,ｴｰｽ,ad97,,,,,○
,,○,,,,,BUX,,,,Ackey Breaky,unk. parents,cane,red,Stewart,TX,1991 ad97,ｱｷｰ･ﾌﾞﾚｰｷｰ,ad97,,,,,
,,○,,,,,BUX CB,,,,Acuminata Splendida,,rex,,Wm Bull  cat.,London,1883 ad97,ｱｸﾐﾅｰﾀ･ﾌﾟﾚﾝﾃﾞｨﾀﾞ,ad97,,,,,
,,○,,,,,BUX Beg'94,,,,Adagio,,z,,Caviness,OK,1994 ad97,ｱﾀﾞｰｼﾞｵ,ad97,,,,,
,,○,,,,,BUX Beg'92,,,,Adam Kennaway,aconitifolia x Symbegonia sanguinea,cane,,Lowe,FL,1992 ad97,ｱﾀﾞﾑ･ｹﾅｳｪｲ,ad97,,,,,
,,○,,,,,BUX CB,○,読み,,Adrien Robine,,rex,,Wm Bull  cat.,London,1883 ad97,ｱﾄﾞﾘｱﾝ･ﾛﾋﾞﾝ,ad97,,,,植村,
,,○,,,,,BUX,,,,Afternoon Delight,Lenore Olivier x albo- picta,cane,pink,Brad Thompson,CA,1990 ad97,ｱﾌﾀﾇｰﾝ･ﾃﾞﾗｲﾄ,ad97,,,,,
,,○,,,,,ABS R#989,○,交配等,,Agnes Brin,masoniana x plebeja,rhiz,,Roberto Brin,Panama,1993 ad97,ｱｸﾞﾈｽ･ﾌﾞﾘﾝ,ad97,,,,,
,,○,,,,,ABS R#962,,,,Agnes Hodgson,chance seedling,rhiz,red/pink,Swyka,Delaware,1992 ad97,ｱｸﾞﾈｽ･ﾎｯｼﾞｿﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Airy Elf,dregei Glasgow x sutherlandii,tuberous,pink,Brad Thompson,CA,1990 ad97,ｴｱﾘｰ･ｴﾙﾌ,ad97,,,,,
,,○,,,,,BUX,,,,Airy Fairy Godmother,Weltoniensis x sutherlandii,tuberous,pink,Brad Thompson,CA,1991 ad97,ｴｱﾘｰ･ﾌｪｱﾘｰ･ｺﾞｯﾄﾞﾏｻﾞｰ,ad97,,,,,
,,○,,,,,JBS2,○,藤,,Akafuji,solananthera x Mrs.Hashimoto,cane,,Fujimoto M.,Japan,1991 ad97,ｱｶﾌｼﾞ 　　     　 (赤藤）,ad97,,,,植村,○
,,○,○,,Ｆ,斉藤寿,JBS3,,,,Akatsuki,Orange Rubra x Lenore Olivier,cane,,Kawanami J.,Japan,1981 ad97,ｱｶﾂｷ　　     　　 （曉）　,ad97,,,,,○
,,○,,,,,JBS3,,,,Aki,Margaritacea x Lenore Olivier,cane,,Shigemi H.,Japan,1985 ad97,ｱｷ,ad97,,,,,○
,,○,,,,,BUX,,,,Aladdins Lamp,Shalimar x U062,cane,rose/white,Brad Thompson,CA,1992 ad97,ｱﾗﾃﾞｨﾝｽﾞ･ﾗﾝﾌﾟ,ad97,,,,,
,,○,,,,,BUX,,,,Alamo Soli,,cane,,,,ad97,ｱﾗﾓ･ｿﾘ,ad97,,,,,○
,,○,,,,,BUX,,,,All Tingley,Shalimar x U062,cane,rose/white,Brad Thompson,CA,1992 ad97,ｵｰﾙ･ﾃｨﾝｸﾞﾚｲ,ad97,,,,,
,,○,,,,,BUX,,,,Allora,Stash x Therac Nig Pink？,rhiz,,Meyer,Aust.,(4) ad97,ｱﾛｰﾗ,ad97,,,,,
,,○,,,,,BUX MLT,,,,Alma Milliken,Superba-Kenzii seedling,cane,,Swisher,PA,1935(k)(0)ad97,ｱﾙﾏ･ﾐﾘｹﾝ,ad97,,,,,
,,○,,,,,AA yamaguchi,,,,Altair,Little Brother Montgomery x deliciosa,rex,,Yamaguchi H.,Japan,1994 ad97,ｱﾙﾀｲﾙ,ad97,,,,,○
,,,,,,,BUX AUST,,,,Alyse,Fred Martin x unk.,tuber hyb.,,Willsmore,Aust.,1994 ad97,ｱﾘｽ,ad97,,,,,
市原,O-5,○,○,○,J-2,市原,JBS3,,,,Ama,maculata chance seedling,cane,,Chida K.　　,Japan,1991 ad97,ｱﾏ,ad97,,,,,○
神Ｂ,C-３,○,○,○,G,斉藤寿,BUX,,,,Amazing Lace,,tuberous,white,,Logee's,1990/92cat.ad97,ｱﾒｲｼﾞﾝｸ ﾞ･ﾚｰｽ,ad97,,,,,○'93
,,○,,,,,BUX CB,,,,Amazon,,rex,,Wm Bull  cat.,London,1883 ad97,ｱﾏｿﾞﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Amethyst,,cane,,Caviness,OK,ad97,ｱﾒｼﾞｽﾄ,ad97,,,,,
,,○,,,,,BUX,,,,Anaconda,Peggy Frost x Dr .Cleo,rhiz,pink,Brad Thompson,CA,1993 ad97,ｱﾅｺﾝﾀﾞ,ad97,,,,,
,,○,,,,,BUX CB,○,読み,,Andalouise,,rex,,Wm Bull  cat.,London,1883 ad97,ｱﾝﾀﾞﾙｲｽ,ad97,,,,植村,
